,label,sentence
561,fear,Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone.
696,disgust,[ No response.]
5597,guilt,Having an affair with my good friend's best friend. And every time I see my best friend I feel guilt because we can not tell him.
1874,shame,When my boy-friend left me and I wanted to persuade him to stay.
5312,anger,Being hooted at when I was learning to drive.
3362,anger,Someone who was speeding was forced to slow down when I pulled out onto the road and proceeded to abuse me at the next set of traffic lights.
3554,guilt,My mother wants to talk very often about her life. I dislike this because she always talks negatively about the same people whatever I do it doesn't help.
5158,disgust,I felt disgusted at my teams poor performance prior to league play.
5256,anger,I had gone on a vacation and my mother left home without leaving me any thing - money to come back to school.
3673,anger,I was sleeping nicely until in the middle of the night when I became awake because a friend called me for some (in my opinion) nonsense reason.
6734,disgust,Once I offended a friend, instead of her coming to me to ask and discuss the matter she was just telling other people about it and say all she could about me.
62,guilt,When one lets friends down
4607,joy,When I first passed a job interview.
2994,fear,Before going to the dentist.
1003,disgust,When I noticed that a nice person was being exploited economically.
780,shame,If I don't go to lectures, I often feel ashamed.
489,fear,A gang of screaming and drunk youths \captured\ a tram.
3894,joy,When a friend of me came for an unexpected visit.
2060,sadness,My father died last year after an 8-week severe illness.
981,sadness,Loneliness, being uncertain of myself in the Autumn.
3054,shame,At an exam in pharmacology I tried to prompt a colleague (she asked me something) and the assistant professor made me a sharp remark.
3058,disgust,Some time ago I was disgusted with the \cleanness\ of the refectory of our institute.
1156,disgust,While reading Oli Jalonen's new book, the distant, cold and selfish relationships between people (in the book) made me feel disgusted.
2988,anger,I was drawn up a statement for an infringement of the traffic ordinance. In fact I was innocent.
7230,fear,Before the exam
338,disgust,At a certain person's lack of cleanliness, at home and personally.
5022,anger,When I got home I found that the electrical supply had been disconnected despite my having paid ZESCO the full bill a few days earlier.
3458,joy,Winning a race that I had been training for, for many weeks. (Running Race).
6153,shame,A few months back I had gone to my friend's place and they offered me tea and coffee. I do not have the habit of drinking tea or coffee and so they offered me a glass of milk instead, so I felt ashamed.
4098,fear,Before an exam which I, finally did not take.
1418,anger,When we rearranged furniture in our flat and got stuck in a chair.
6133,guilt,I had promised to send something to a friend and it completely slipped my mind. I felt guilty for having forgotten.
5892,fear,When I decided to separate from my husband.
1710,fear,Many years ago I saw the film \Psycho\ by Hitchcock for the first time. When I saw the film I was alone and afterwards I hardly dared to go to bed and hardly was able to sleep.
835,disgust,Reading about executions and massacres which happened during World War II, I felt disgust towards those who did it.
2902,anger,The doctors from Belogradchik town determined a wrong diagnosis to my son. A month later, after some complex examinations at ISU (A medical institute in Sofia), the diagnosis was categorically rejected.
5269,fear,I was so sick that my relatives thought that I was bewitched. I felt like dying.
4766,shame,I was double crossing my fiancee and one day she caught me red handed. She forgave me later. I was very ashamed of what I had done.
947,disgust,As a child, when I saw an \unesthetic\ sight.
3086,disgust,I am disgusted with the behavior of a car driver whose car would run over me and my friends during our autumn brigade.
5038,disgust,When I found my girl in bed with another man.
4311,disgust,Some friends and I were having lunch. Someone said something funny and one of the guys started laughing and spat his food in a girl's face.
746,shame,I was talking badly about a person to some friends, and discovered that his daughter was listening.
3087,shame,I felt shame when I discontinued my education for eight months.
239,joy,When my one year old son gives me a spontaneous kiss.
5072,sadness,My father resigned from work, and soon after this his elder brother died. The next day my granny died (my mother's mother). My dad remains the only living member of his family.
6721,shame,I failed my Nutrition paper which was the paper ending the course.
7446,disgust,During a recent meeting, Mr. A showed his excitement and overindulged in the notes delivered. Though his curiosity could not be blamed, his way of acquiring knowledge was an extreme behaviour e.g he always tried to know what I was reading and gained everything he could.
681,sadness,When I found out that I had failed to pass my exams during the term by one point. The fact that exactly the same thing had happened last term did not help.
4905,disgust,When I saw a woman who had been run over by a train, just off Kafue. The woman had been cut to bits, there was blood and splinters of bone every where.
1845,sadness,During my holiday I met again a friend who had tried to commit suicide. She had just left hospital, her lips were trembling, she looked miserable.
5694,shame,Doing poorly on an exam that I thought I should do well.
4046,sadness,One night I was called and told that the father of a close friend died. When I visited my friend at home and when attending the funeral I felt very sad.
906,shame,Forgot to do some shopping that I had promised to do.
5173,joy,I felt extreme joy the day I was baptized. I was one with God.
2148,guilt,When I let a person assume a fault that I committed.
7026,guilt,Not acting on my promise.
7138,joy,Found out my wife (girl-friend?) pregnant.
3099,sadness,When you are far away from relatives and friends. I feel sad for my early years, for the freedom and the carefree years of childhood.
3548,guilt,I had made an appointment with a girl to go to the movies, but actually I had no mind when we arrived at the cinema, it was a full house. I then went back and she went to the movie alone.
3925,sadness,I had this feeling when my parents destroyed a relationship with a boy because they thought he was bad and irresponsible.
2130,shame,Felt it after I spoke terribly (got mad at) the person who is the most important in my life.
6853,disgust,Waiting for a bus not coming for a long time, and the bus drivers were having a long lunch.
3938,joy,When my boyfriend and I went out for a dinner and subsequently went to his family. We had a very nice evening.
7564,sadness,When I found that my ability to do ordinary work was worse than my fellow mates.
7592,sadness,When I was ill and had to stay at the hospital for a period of time.
6111,shame,When I realized that I belonged to a country which is amongst the poorest in the world and that inspire of having the resources we do not utilize them. I was ashamed at myself and my country, shame at the lack of parity between the lifestyles of the citizens.
1801,fear,Before I went to the urologist's I was afraid for several reasons: because it was for the first time, because the medical check-up might be painful, because of the uncertainty and because someone had informed me about it.
6663,guilt,I had spent the weekend visiting relatives and friends and didn't study for Anatomy class on Monday.
1021,fear,While watching TV (a war movie), I felt a strong fear of death, threat and fear of loosing people close to me.
2985,guilt,I feel this feeling most often before me not before the others. My outside is iron but actually I'm wasting away.
3102,guilt,I didn't visit a very close friend at the hospital and some days later he died.
7659,joy,I received a letter from a distant friend.
5142,joy,When I received the acceptance form for the second year at university.
3456,shame,I told my primary teacher I hadn't done my homework as my mother was in a car accident. My teacher rang that night to see how my mother was - she was fine i.e. no accident !
7008,anger,Made a statement that other people did not believe.
385,anger,When my boss enrolled in a course to satisfy his own ends - to trample on his associates. I have the misfortune to have one of my superiors in my course.
2498,fear,One day, when I realized that I was alone, I felt fear of loneliness.
4527,disgust,At the hypocrisy of some of my friends.
2973,fear,Before an exam in logic
3364,disgust,When someone whom I considered my friend, without telling me he was annoyed, proceeded to ignore me for several meets with no apparent reason.
3654,disgust,I lived together with my boyfriend. One night he stayed away and next day he told me that he had chat up with another girl.
7175,anger,Insulted by other people in the shop.
2880,fear,I had to have my tonsils out. I had been making up my mind almost for a year - I was afraid. But during the two hours in the hospital room, while I was waiting to be called for the operation I felt a real fear - of the pain, of what they were going to do to me, of the unknown.
3142,disgust,I feel disgust with my first boyfriend who made fun of our love in an abominable way.
7332,fear,Tutorial again ! A fearful feeling came to me when I sat on the chair and looked at my fellow students all around. I was really scared that they would ask me some questions or challenge the ideas that I had presented.
7624,joy,When two female classmates and I were having lunch, we chatted and cracked jokes, I was very happy. However, I felt that I may have said something inappropriate which might cause them to have a bad impression of me.
4002,fear,I went to the apartment of my boyfriend and saw some people before his door. I thought that something had happened.
3776,disgust,When my friend who was drunk insulted me in public for no reason at all.
4787,shame,I insulted the girl to whom I had proposed when she turned me down.
2977,shame,I was to take part in a cocktail party on the occasion of our national holiday as a servant.
4943,joy,When I got myself the kind of girlfriend I had been hunting for a long time.
5687,shame,I bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter.
1279,fear,When abroad, while driving a car along a dark, winding road.
7660,fear,My parents were out and I was the eldest at home. At midnight a male stranger phoned us and spoke to me in a rough language. I hung up and heard someone walking outside our door.
6955,anger,Korean judges cheating.
3091,anger,When on a car journey a fellow student crossed our way with his own car and we had to bump into a roadside trunk.
2479,sadness,When I knew about my sister's in law financial situation and what she was facing.
1571,fear,No really strong such emotion. Just falling off to sleep when I caught sight of a 5 cm diameter spider crawling onto the pillow beside me.
4056,guilt,Once after falling in love, I imagined that particular girl to be perfect and completely overshadowing my girlfriend. Afterwards I realized that this image was not objective. I felt guilty against both girls.
684,guilt,[ No response.]
2959,fear,A fear of lack of personal powers.
1739,anger,I was angry about how the government acted concerning Hainburg, especially when I saw a discussion about it on TV.
4621,joy,When I hooked a girl in Kite She was very beautiful for my standards, a rare bird of this kind accepted me as a boyfriend.
4236,guilt,I had an argument with my boyfriend. It was my fault but my pride would not let me admit it.
20,guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered.
3934,sadness,I was very sad when I had to leave persons with whom I had a very intense relationship I also had to leave the environment which was part of this.
5046,shame,When I realized that I was pregnant. I thought about what my relatives and friends would think about me and I felt a lot of self pity.
68,shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.
3088,guilt,The sense of guilt came over me too, when I interrupted my studies. Why ? Because I felt guilty before my parents ! They believed in me though this event did not make them disbelieve me.
2527,anger,Without the employer's knowledge and even without any communication their bank accounts were changed and their personal accounts closed.
7210,anger,Your prejudice against psychology students and education students (not allowing us to go to the medical university lectures).
2371,shame,When my mother looked in my drawer (where I keep my personal things) and she found some porno photos that I have kept from more than a week, and split it.
837,guilt,Borrowing a car, and then having a minor accident (breaking a headlight).
42,joy,When I had my children.
5495,fear,Housesitting and hearing the alarm go off. I knew someone had to be breaking in. I called the police and was panicking while on the phone. It was awful. It turns out that I stepped on the hidden alarm without prior knowledge of its existance
4944,fear,When I was told that the form five results were out.
810,joy,Receiving a postcard form my sweetheart who was abroad on vacation, not being at all sure if he would write me or not.
251,shame,[ No response.]
5532,disgust,Saw a scene in a movie implying incest as humorous.
6938,shame,Insulted by somebody.
6028,guilt,Once I was not able to give a relative, who was in a critical period, a helping hand. Whenever I think about it I feel guilty for letting down the person who trusted me to give him a helping hand.
5292,sadness,When I realized that I was in hospital after a car accident and that I had a several tear in my left eye.
4555,disgust,I was at a friend's place for lunch and she fell ill and vomited.
96,shame,Nearly caught masturbating.
1822,fear,When I had to go through lonely streets in the middle of the night.
6046,sadness,When I heard the news of the death of my father. It was in the evening and I was alone all night in my room trying to remember the face of my father.
3900,guilt,That I didn't take the time to make an appointment with someone.
5814,joy,After watching the 49ers lose game after game, year after year, I was finally rewarded with a Super Bowl victory which made me extremely happy.
7317,joy,When my application for studying the masters degree was accepted.
60,disgust,When one learns through the mass media all the wars and killing going on in the world.
7242,guilt,A friend came to visit me and I was not there.
2677,fear,I woke up in the middle of the night of a nightmare, I was alone, it was very quiet and very dark.
7450,fear,An inter-college basket-ball match.
5291,anger,When I learnt that my younger sister had been expelled from secondary school because she was pregnant. That was the second time that this happened in the family - the first time it had been my elder sister.
1208,joy,[ During inter-rail-trip, after troubles, I met my little sister.]
3948,sadness,A very close friend of mine died. I read it in the newspaper. I didn't know what to do and thought about it the whole day.
2233,joy,When I achieved my first 6 at University after a long string of 3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded pass).
328,fear,When I was in a little fishing boat and we ran into hard weather in the open sea.
7600,disgust,I had a friend who was very kind to me. I tried my best to like him and understand him but when I was with him I could not help rejecting, criticizing and blaming him. I wanted to get away from him as soon as possible.
3511,disgust,One of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully.
4876,sadness,The day my teacher of Latin and French died.
320,joy,When my son returned from mountaineering - healthy in body and soul.
3187,joy,When I meet old past pupils of mine - and find they are all doing well - I feel joy. Yesterday I met a young woman (20 yrs) I'd taught her at 6 yrs, then at 12 yrs and hadn't seen her for last 3-4 yrs; she was no longer a waitress but a meter maid for Council.
6230,shame,When I had not done well in Geography at my MCE I was expected to get more than I did.
6369,shame,It was my father's birthday party when I was asked to bring a tray of tea and other drinks.
5397,guilt,When I could not fulfill my expectations.
2429,disgust,I was travelling we were 15 person, one of them I met at the travel and didn't like her. One night I was asleep while she and her friends were talking too loud in the kitchen. I got up to ask for silence and since that day I felt constant disgust for her.
767,guilt,I failed to complete a working task within the agreed time.
1424,fear,My girlfriend and I slept in a lonely hut (we had drunk alcool). Suddenly some soil fell on us, then some water. Although we tried hard, we could not find out the cause.
5266,shame,I had a misunderstanding with my father and after some time I found that I had been wrong.
2599,disgust,I was working in a classmate's house with a group. A girl began to graze her foot against mine under the table.
2081,sadness,I broke up with my boyfriend of seven months, but it was a very \indepth\ relationship and so after feelings of grief and loss were over I felt an immense sadness.
3281,shame,While intoxicated I invaded someone's (a girl's) personal space to a large extent.
3562,joy,I can not give one description here. I often feel joyful when I have done things good in relation to other people especially when my friend says he loves me and I also tell him that I love him.
6416,sadness,I felt sad when I was told to walk out of the classroom because I was within the row of students who were making noise.
6472,disgust,I was disgusted when I was told to dress a big rotten stinky wound which, coming closer, made me feel like vomiting
1019,guilt,I did not go to the exercises, without any adequate reason.
3935,disgust,I felt disgust after watching a picture on television about torturing political prisoners in India (this happened in the India of Indira Ghandi).
4868,anger,When my room-mate locked me out deliberately, before an exam due at 1400 hours.
1944,guilt,My mother and father had forbidden me to ride my scooter on the road, and I had transgressed (together with the \wild\ kids from across the street) by riding my scooter down a steep hill near our house. My mother sent the boy next door to collect me, and I was severely scolded.
4758,disgust,This happened when I went to visit my friend in Chilton and found him screwing my girlfriend.
6578,shame,I answered a certain question from Dr. Manga wrongly. She asked something about Femur and my answer was saying something concerning the brain. So I was very ashamed amongst my friends.
382,guilt,When my husband talked about the restrictions he will have to accept in his life to make our marriage work. I felt that it was directed at me as it was me who had demanded the changes. We were with a marriage counsellor then.
7067,guilt,A friend asked to borrow my notes and I did not give them away (my notes too badly written)
3273,guilt,I felt that I contributed to a possible rift in the relationship between a boy and girl soon to be married, in my flat after I moved in. After stating my celibacy to him which she overheard and didn't previously know about I suspect.
788,guilt,When I secretly tried smoking for the first time, being 12 years old.
1499,guilt,I allowed my little brother to clean the bathroom in his own way. My mother came and saw the floor overflowed with water, slapped my brother in the face and told him to go to bed immediately.
2110,disgust,When walking along the beach with my boyfriend, we saw 2 people having sex on the sand dunes in full view of everyone. It was the fact that they chose that area in which to have sex, that disgusted me.
279,fear,Someone attacked me with a knife.
5513,guilt,Getting a D in a class last semester and knowing it was because I didn't study.
3539,disgust,When I heard about the disaster in Bhopal (India).
801,shame,My father died after two very painful weeks in bed. I felt relieved, and was ashamed of that.
4427,anger,When I learned that several people had died in the street due to the cold weather.
2323,guilt,When my ex-boyfriend didn't want to sleep with me anymore and I insisted. We made love but he felt very badly and I felt guilty.
6311,sadness,After studying a lot for my H.S.C exams, I could not make it to the medical stream and I felt sad about this.
6649,guilt,I felt guilty when I was found to be the chief leader of making noise in class.
5975,anger,I am separated from my husband. The way he has behaved towards me makes me angry.
644,fear,Earlier, I was afraid of speaking in front of a crowd of people.
4756,anger,I went to the dining hall and found that the cooks were cleaning the plates and there was no food for me, and the blue birds (security guards) were busy eating the food that was supposed to be for me.
5124,guilt,I told my elder brother that he was irresponsible and that I did not care for what he did because he was teasing me.
5251,disgust,When a student accused me of having stolen his textbook as he had found a form bearing my name in his other books and all my explanations fell on deaf ears.
7174,fear,Hearing a strange noise in the biology building.
6119,guilt,At times I have been attracted to conducts which are socially degraded due to their ill consequences, and then I feel guilty.
23,anger,When a car is overtaking another and I am forced to drive off the road.
2706,disgust,I felt disgust with a self-iterested person who ruined the life of another by means of utterly unfair methods.
7097,fear,Thinking about death when walking alone at night.
2462,joy,I had a friend who I didn't see for a long time. We had a relationship from much union and interaction. It was more that one year that I didn't see her. She appeared in my home and we talked.
4291,shame,My mother had just been teaching me how to crochet, which is thought highly improper for a boy in a town. Just when we finished, a neighbour walked in.
3065,disgust,It was at a comsomol(??) meeting, the last one because we were to graduate. The way one of my fellow-students behaved made me feel disgusted.
2341,sadness,During an informal talk with a friend when we talk about the life of another person, a common friend, that is in a situation of not being able to assume certain problems that he decided to solve, that is, she herself suggested the problems and decided to solve them but didn't get it until the moment.
4095,shame,I met a friend in a discotheque. he was with a girl and he told me that she was not his girlfriend. I, to say something, commented that she must be a vicious woman. He then told me that she was his girl.
5109,shame,When I told a lie to a friend of my sister on April fool's day. She later came to see me and told me that it was a very foolish thing to do.
6431,disgust,I was disgusted when my brother was arrested because of stealing money.
5881,disgust,I felt disgusted while studying for my applied psychology and mental testing papers in B.A.
7125,fear,Finding out the great difference between China and the West in science.
2534,anger,A ex-boyfriend tried to prejudice me before my fianc and his family saying things about me that let his family worried. We had to postpone our wedding and we were already using our wedding rings. To be honest I didn't feel just anger, I felt hate.
2968,sadness,At a prolonged separation with my family.
6947,joy,Joining in a research group studying consumer's behaviour and helping the people in the shop with the sales.
682,disgust,When I was touring Asia with my present football team, I saw old Europeans with young asiatic prostitutes.
6631,anger,During the Xmas holiday, I and my best friend at Secondary School had planned to meet at a Cultural afternoon at the Mt. Sochi Hotel after missing each other for such a long time. When I asked my mother for permission, she told me not to go for no good reason. I felt very angry with her.
5822,fear,I felt fear when I was young and left in my big house all alone.
4386,sadness,I had failed some subjects in mathematics.
7381,anger,My elder brother often criticizes my mother's cooking. Once he did it very impolitely and lost his temper. This made all of us very sad. I was very angry and I scolded him. He asked me not to interfere with what was his business
7099,sadness,Death of a relative.
6433,guilt,I felt guilty when I lost K43 for my friend when he was arrested.
7047,joy,Doing unexpectedly well in an exam
1283,shame,While working as a domestic helper, one day I had not cleaned up very well and they made a remark about it.
4526,sadness,[ No response.]
7308,shame,In an examination ,which other students found easy I could hardly think and did not know what to answer.
4290,disgust,I read a book whose plot and expressions were obscene and in very bad taste.
2458,sadness,A close friend travelled to another country. When I knew that he would only come back after many years, I felt very sad.
1756,shame,When I was 6 or 7 years old, I pulled down the trousers of a friend because I wanted to know what she looked like. My mother watched that and (as a punishment) sent me into the house. We never spoke about that; I think it was as embarrassing for her as it was for me.
497,anger,A drummer who had borrowed my drums destroyed both the drumskin and the sticks. He did not repair them nor did he tell me about it.
7061,joy,Found out that me and my best friend are both chosen for the English lectures.
2970,shame,I feel this feeling at one and the same degree when I am not prepared to overcome certain obstacle in my life.
1782,sadness,When my flute-teacher was replaced by a new one.
3302,shame,Cannot recall the emotion with any force.
3337,shame,Felt ashamed when in a group conversation and could not understand words or comprehend the topic of discussion.
2486,sadness,I felt very sad when I saw the first list from the names of the people who entered at the University and my name wasn't there.
3074,guilt,I had undertaken to help my sister for her class work but some unexpected circumstances prevented me from doing that.
1719,sadness,I arranged with a friend to go skating the next day. He asked me to wake him up by telephone at twelve o'clock because we had come home late in the morning. Next day I called him - he was not at home. As something like that had happened to me several times before, I came to the conclusion that one cannot rely on anybody and I felt very sad.
3838,joy,My sister and brother in law returned from Sri Lanka where they adopted a child. I went to pick them up at the airport.
5810,sadness,Recent break-up with my girlfriend. We had been together for over a year. I was overseas and discovered over the phone (while I was at work).
3924,anger,Once again my parents destroyed a relationship.
7193,guilt,Not handing in homework in time.
4856,disgust,Someone stole a K10 note and the teacher thought that it was me when I was not responsible for the theft.
4567,anger,When my aunt told me angrily that I was a good-for-nothing and she was fed up with my behaviour
995,sadness,When I came to know that a girl I was fond of already had a boyfriend.
3604,joy,When I won the first prize in a cross country race.
4705,joy,I was in grade 7. We had an inter-house volley-ball competition. In Luapula I was the youngest member of the team and I scored the winning goal using my head. I jumped up with joy and fell down.
5686,disgust,I was playing a sport in an advanced PE class and many of the people were not advanced.
6772,joy,I was joyful when I received a present (2 books and a pencil) from the headmaster in standard 6 because I had passed, I became No 1 and he said I was one of the pupils who had good behaviour
4246,anger,When they threw my holder down on the floor, with all my notes for an exam inside it and they got all mixed up.
2546,joy,I felt glad to live again when I went to a meeting about the \Knowledge\. There are 4 techniques of meditation that connect you with the essence of the human being.
1061,joy,My joy was the joy of meeting again. My husband came home after having been away for weeks (for work). I was on the railway station to meet him.
345,disgust,My parents attitude towards each other when they should become reconciled, despite my father's long-time addiction.
2948,guilt,Some days ago I had a slight car accident through my fault.
90,guilt,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.
3890,sadness,The end of a relationship (after 4 years) by doing this I hurt the other person very much.
3795,sadness,When a close relative of mine passed away, it was the first time that someone so close to me had died.
3372,shame,Cannot remember such a situation.
2774,shame,When I do something unworthy.
6020,shame,When my co-resident opened the bathroom door while I was bathing inside.
1135,disgust,When I was watching a movie with many violent episodes. They accurately showed the cutting of corpses, etc...
5091,fear,I got a very nasty electrical shock when I was tampering with some electrical appliances
3038,sadness,Sadness, no, I felt something much stronger when my father died.
1429,guilt,I came home from a discotheque at half past four in the morning, although I had promised my parents to come home at midnight. From 3 a.m. I felt guilty towards my parents.
6542,disgust,In May somebody blamed me that I made him to be caught while peeping during the Nursing Test which made me feel disgusted.
4654,shame,When I got drunk at a party and made a fool of myself by vomiting all over the place and insulting the people who were there with me.
7194,joy,Having a good trip on a boat with good friends.
2206,anger,An unjust calumny concerning me.
1910,joy,On my birthday, when a very close friend sent me a huge bouquet of flowers.
4817,joy,When I was accepted for my third year (G-10) at my former secondary school.
6632,sadness,When I was transferred from Chichiri Secondary School to St. Mary's Sec. School. I was happy at Chichiri as a day scholar and had made a lot of friends. I was going to a boarding and that meant parting with my friends as well as my boyfriend for the first time.
5118,joy,When I received the acceptance letter from UNA I had just come home from work when my kind sister handed me an envelope which I opened and was overcome with joy.
674,sadness,When I heard that a good friend had committed suicide.
1680,shame,At a cross-country race I wanted to take a short-cut (which is not allowed). I was caught and disqualified. All my friends had observed that.
1983,sadness,Death of grandmother.
6693,fear,I was afraid to walk through the forest one day when I dropped off the bus around 6.30 pm.
4332,disgust,They asked me to throw the rubbish into a dustbin which had some awful liquid accumulated at the bottom.
2117,anger,While at school I had to write an essay for doing something wrong that I didn't do. I wrote the essay about how I was mistreated and got Saturday morning detention along with a few other kids, but they didn't show up.
4932,sadness,This morning during my sleep I had a feeling that somebody was attacking me. I started crying in my sleep and then my room-mate woke me up.
924,anger,My father accused my brother of having bumped his car, and it was wrong.
5415,fear,Finding out about people can go mad for social reasons.
7378,guilt,I made my boyfriend so unhappy and depressed that I feel guilty.
2132,joy,When I received my TE Score and my acceptance from University - it had been a goal since I left the bank a year earlier.
2668,guilt,I had thrown with the ashtray a still lighted cigarette in the plastic wastepaper basket. It had burnt out and my landlords made me a row that I might had set their flat on fire.
7326,anger,I had planned to study for my mid-term exams on a certain day and my room-mate called me to ask me to go out for a stroll. I tried to make an excuse so as not to go out but she refused to listen to me and insisted that I go out with her. I find it unnecessary to talk to her anymore.
3251,shame,When my natural parents name would show up on papers and not my, what I call real name.
2212,joy,Winning Queensland Chess Championship.
3553,shame,I saw a terrible accident happen and I laughed a lot of the fright and because I was nervous.
7086,disgust,Saw an arrogant girl walking pass by.
3598,fear,When I was a child, one day, I was going home late at night and I did not notice an uncovered man hole and fell in it. I was in there for several minutes.
3636,joy,Unofficially I was informed about my results of the final examination of the secondary school. A teacher wrote them up for me. When I went outside, I started crying with joy.
1010,disgust,At my grandmother's detestable and selfish conduct towards my elder sister, although her behavior was due to senility and lack of understanding.
6777,shame,I was really shameful when my mother beat me in the presence of my friends because I didn't cook lunch up until 2 o'clock.
2976,disgust,The behaviour of a colleague of mine, which doesn't correspond to my norms of behaviour
5591,joy,Going to Chico to visit a friend.
5462,guilt,Thinking about other things in a lecture.
